city_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
145,Abu Samrah,SY,35.3029,37.1841,52.07,79,5,1.39,clear sky
146,San Antonio,US,29.4241,-98.4936,49.05,61,0,16.11,clear sky
147,Ulaangom,MN,49.9811,92.0667,-16.82,99,94,0.38,overcast clouds
148,Gagnoa,CI,6.1293,-5.9437,71.38,98,98,2.39,overcast clouds
149,Mount Gambier,AU,-37.8333,140.7667,68.02,50,16,12.84,few clouds
150,Pangai,TO,-19.8,-174.35,84.31,61,20,11.5,few clouds
151,Ust-Kulom,RU,61.6864,53.6902,16.2,91,100,10.22,overcast clouds
152,Constantine,DZ,36.365,6.6147,44.01,75,20,2.3,few clouds
153,Sungairaya,ID,0.7,108.9,83.34,72,100,2.8,overcast clouds
154,Pindwara,IN,24.8,73.0667,63.43,24,100,3.13,overcast clouds
155,Santa Lucia,ES,27.9117,-15.5407,58.32,68,75,5.75,broken clouds
156,Madang,PG,-5.2246,145.7966,86.54,67,84,7.49,broken clouds
157,Geraldton,AU,-28.7667,114.6,88.21,23,0,8.05,clear sky
158,Grootfontein,NA,-19.5667,18.1167,69.37,32,100,9.22,overcast clouds
159,Dzerzhinskoye,RU,56.8344,95.2283,-4.58,95,88,2.86,overcast clouds
160,Oeiras,BR,-7.0253,-42.1311,76.77,70,87,0.65,overcast clouds
161,Isangel,VU,-19.55,169.2667,83.23,58,3,9.17,clear sky
162,Palmeira,BR,-25.4294,-50.0064,58.32,98,39,7.67,scattered clouds
163,Rocha,UY,-34.4833,-54.3333,60.39,67,65,6.62,broken clouds
164,Qaanaaq,GL,77.484,-69.3632,-1.28,66,94,10.04,overcast clouds
165,Azangaro,PE,-14.9167,-70.2167,43.93,81,65,3.76,broken clouds
166,Ust-Maya,RU,60.4167,134.5333,-42.38,97,100,0.18,overcast clouds
167,Ketchikan,US,55.3422,-131.6461,37.38,92,87,2.55,overcast clouds
168,Antofagasta,CL,-23.65,-70.4,69.08,76,0,1.45,clear sky
169,Kautokeino,NO,69.0125,23.0412,-11.56,99,21,1.83,few clouds
170,Carnarvon,AU,-24.8667,113.6333,89.11,35,0,9.08,clear sky
171,Codrington,AU,-38.2667,141.9667,62.67,66,79,12.53,broken clouds
172,Morondava,MG,-20.2833,44.2833,78.64,79,15,4.38,light rain
173,Mazagao,BR,-0.115,-51.2894,80.65,83,95,4.09,overcast clouds
174,Vila Velha,BR,-20.3297,-40.2925,73.35,94,0,8.05,clear sky
175,Lasa,IT,46.6166,10.7002,31.03,93,99,6.22,overcast clouds
176,Amapa,BR,1.0,-52.0,72.18,86,47,2.15,scattered clouds
177,Yucca Valley,US,34.1142,-116.4322,43.47,45,0,4.0,clear sky
