city_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
247,Grand Gaube,MU,78.39,few clouds,-20.0064,57.6608,
252,Prainha,BR,80.19,broken clouds,-1.8,-53.48,
260,Poum,NC,81.21,clear sky,-20.2333,164.0167,
266,Cururupu,BR,75.25,scattered clouds,-1.8283,-44.8683,
267,Saint-Pierre,RE,79.92,clear sky,-21.3393,55.4781,
268,Praia,CV,72.14,few clouds,14.9215,-23.5087,
271,Rock Sound,BS,77.88,clear sky,24.9,-76.2,
275,Tsogni,GA,74.82,light rain,-2.7942,10.0988,
279,Wajid,SO,71.17,clear sky,3.8093,43.2471,
281,Maceio,BR,74.64,clear sky,-9.6658,-35.7353,
282,Namatanai,PG,83.61,moderate rain,-3.6667,152.4333,
287,Wattegama,LK,78.46,scattered clouds,6.7989,81.4808,
288,Tera,NE,70.68,broken clouds,14.0078,0.7531,
289,Gewane,ET,72.52,scattered clouds,10.1664,40.6453,
299,Pak Phanang,TH,81.28,broken clouds,8.3511,100.202,
300,Ambilobe,MG,74.08,overcast clouds,-13.2,49.05,
302,Denpasar,ID,80.26,scattered clouds,-8.65,115.2167,
305,El Rodeo,GT,71.2,scattered clouds,14.9167,-91.9667,
308,Waingapu,ID,80.01,overcast clouds,-9.6567,120.2641,
312,Kirakira,SB,84.63,scattered clouds,-10.4544,161.9205,
317,Bandarbeyla,SO,72.25,clear sky,9.4942,50.8122,
321,Byron Bay,AU,74.95,overcast clouds,-28.65,153.6167,
322,Saint-Georges,GD,77.14,clear sky,12.0564,-61.7485,
326,Tual,ID,81.25,overcast clouds,-5.6667,132.75,
328,Cabo Rojo,PR,76.91,broken clouds,18.0866,-67.1457,
331,Juntas,CR,73.78,broken clouds,10.2809,-84.9595,
333,Cap Malheureux,MU,78.48,scattered clouds,-19.9842,57.6142,
336,Broken Hill,AU,79.29,clear sky,-31.95,141.4333,
339,Adamantina,BR,70.84,scattered clouds,-21.6853,-51.0725,
340,Dwarka,IN,75.45,overcast clouds,22.2394,68.9678,
342,Alice Springs,AU,80.15,overcast clouds,-23.7,133.8833,
347,Tobias Barreto,BR,72.59,broken clouds,-11.1839,-37.9983,
348,Biloela,AU,86.25,broken clouds,-24.4167,150.5,
349,Kudat,MY,81.46,overcast clouds,6.8837,116.8477,
350,Inhambane,MZ,77.81,overcast clouds,-23.865,35.3833,
357,Kismayo,SO,77.31,scattered clouds,-0.3582,42.5454,
360,Progreso,MX,78.91,clear sky,21.2833,-89.6667,
362,Vaitape,PF,79.93,light rain,-16.5167,-151.75,
373,Phayao,TH,77.11,overcast clouds,19.25,100.25,
376,Libertador General San Martin,AR,73.81,broken clouds,-23.8064,-64.7876,
379,Marsh Harbour,BS,75.07,clear sky,26.5412,-77.0636,
380,Labuhan,ID,83.75,light rain,-6.8844,112.2051,
389,Bubaque,GW,81.19,clear sky,11.2833,-15.8333,
392,Kalmunai,LK,78.3,overcast clouds,7.4167,81.8167,
396,Salalah,OM,75.29,clear sky,17.0151,54.0924,
397,Abu Dhabi,AE,70.97,few clouds,24.4667,54.3667,
398,Ambon,ID,78.94,scattered clouds,-3.6954,128.1814,
400,Sabang,ID,81.34,scattered clouds,5.8933,95.3214,
402,Ayame,CI,73.54,light rain,5.6083,-3.1563,
403,Anloga,GH,79.95,few clouds,5.7947,0.8973,
405,Gunjur,GM,74.05,clear sky,13.2019,-16.7339,
407,Quelimane,MZ,72.64,overcast clouds,-17.8786,36.8883,
408,Ampanihy,MG,73.71,broken clouds,-24.7,44.75,
